epoch, time, train_err, enc_u_loss, enc_v_loss, enc_cp_loss, enc_lognutratio_loss, lr
0,16.35,0.935588,0.948567,0.916049,0.953259,0.911743,1.00e-03
0,16.21,0.925850,0.941577,0.905227,0.941398,0.913331,1.00e-03
20,4.41,0.091855,0.110478,0.041267,0.075459,0.617173,9.99e-04
40,4.09,0.054356,0.066544,0.028713,0.054359,0.237638,9.96e-04
60,4.07,0.041613,0.052276,0.022965,0.041424,0.165636,9.91e-04
80,4.59,0.038054,0.047408,0.021860,0.040232,0.126456,9.84e-04
100,4.47,0.031280,0.040679,0.017509,0.031944,0.107284,9.75e-04
120,4.32,0.029899,0.038877,0.017324,0.030394,0.097831,9.64e-04
140,4.64,0.028120,0.037166,0.016142,0.028480,0.090747,9.52e-04
160,4.73,0.029326,0.037843,0.017388,0.030617,0.087282,9.37e-04
180,4.42,0.025990,0.035103,0.014656,0.026161,0.083281,9.21e-04
200,4.38,0.025279,0.033833,0.014766,0.025323,0.078725,9.04e-04
220,4.24,0.022931,0.029982,0.013567,0.022953,0.074092,8.84e-04
240,4.35,0.022204,0.029614,0.012867,0.021934,0.073270,8.63e-04
260,4.28,0.021532,0.028190,0.012369,0.021784,0.071193,8.41e-04
280,4.56,0.020001,0.026136,0.011362,0.020151,0.068393,8.18e-04
300,4.23,0.019275,0.025691,0.011184,0.018727,0.066075,7.93e-04
320,4.38,0.019171,0.025325,0.011332,0.018579,0.065371,7.67e-04
340,4.59,0.019628,0.025778,0.011616,0.019362,0.064967,7.39e-04
360,4.32,0.017116,0.022629,0.009902,0.016450,0.061512,7.11e-04
380,4.40,0.017452,0.023217,0.010022,0.016971,0.060996,6.83e-04
400,4.36,0.018684,0.024187,0.010849,0.019104,0.060656,6.53e-04
420,4.64,0.017285,0.023062,0.009736,0.017120,0.059446,6.23e-04
440,4.36,0.018349,0.023294,0.011182,0.018510,0.059055,5.92e-04
460,4.63,0.015674,0.020063,0.009150,0.015410,0.056702,5.61e-04
480,4.44,0.014262,0.018908,0.007952,0.013523,0.055408,5.30e-04
500,4.48,0.015543,0.020145,0.009428,0.014657,0.056159,4.98e-04
520,4.29,0.013690,0.017724,0.007803,0.012954,0.054251,4.67e-04
540,4.35,0.013882,0.018105,0.007993,0.013090,0.053771,4.36e-04
560,4.40,0.014609,0.018606,0.008555,0.014277,0.053824,4.05e-04
580,4.55,0.014941,0.019321,0.008761,0.014488,0.054072,3.74e-04
600,4.42,0.013677,0.017558,0.008078,0.012883,0.052732,3.44e-04
620,4.60,0.013075,0.016489,0.007659,0.012402,0.052136,3.14e-04
640,4.29,0.015374,0.020390,0.009064,0.014738,0.053450,2.86e-04
660,4.55,0.014777,0.019114,0.008797,0.014267,0.052631,2.58e-04
680,4.28,0.012977,0.017050,0.007580,0.011919,0.050970,2.31e-04
700,4.35,0.012222,0.015971,0.007092,0.011062,0.050297,2.05e-04
720,4.62,0.011905,0.015877,0.006844,0.010486,0.050051,1.80e-04
740,4.36,0.011353,0.014828,0.006380,0.010173,0.049660,1.57e-04
760,4.63,0.011373,0.014730,0.006372,0.010367,0.049289,1.34e-04
780,4.84,0.010657,0.013503,0.006001,0.009576,0.048785,1.14e-04
800,4.83,0.010554,0.012981,0.006021,0.009649,0.048554,9.46e-05
820,4.04,0.010370,0.013047,0.005754,0.009361,0.048536,7.70e-05
840,4.03,0.009968,0.012453,0.005584,0.008806,0.048189,6.11e-05
860,4.15,0.010044,0.013074,0.005562,0.008616,0.048099,4.69e-05
880,4.10,0.009672,0.012135,0.005439,0.008347,0.047840,3.45e-05
900,4.43,0.009559,0.011993,0.005316,0.008267,0.047713,2.40e-05
920,4.13,0.009367,0.011645,0.005234,0.008048,0.047582,1.53e-05
940,4.14,0.009256,0.011395,0.005193,0.007949,0.047506,8.56e-06
960,4.54,0.009183,0.011229,0.005162,0.007890,0.047476,3.75e-06
980,3.97,0.009134,0.011111,0.005151,0.007842,0.047450,8.90e-07
0,14.56,0.942722,0.960744,0.910716,0.972537,0.916129,1.00e-03
20,3.92,0.096075,0.112486,0.045697,0.082286,0.611711,9.99e-04
40,4.32,0.057312,0.069641,0.032196,0.056805,0.238555,9.96e-04
60,4.41,0.041467,0.051544,0.023562,0.041622,0.158819,9.91e-04
80,4.08,0.037602,0.046477,0.022295,0.039574,0.121650,9.84e-04
100,4.28,0.031746,0.041040,0.017983,0.032916,0.104265,9.75e-04
120,4.06,0.030186,0.038163,0.017836,0.031934,0.091844,9.64e-04
140,4.17,0.028075,0.036932,0.016410,0.028778,0.085955,9.52e-04
160,4.10,0.026741,0.034288,0.016242,0.027606,0.079537,9.37e-04
180,4.36,0.027419,0.034795,0.016603,0.028977,0.078853,9.21e-04
200,4.03,0.024245,0.032776,0.014368,0.023583,0.077131,9.04e-04
220,4.44,0.023708,0.031714,0.014234,0.023532,0.071834,8.84e-04
240,3.99,0.022133,0.029281,0.013513,0.021554,0.070076,8.63e-04
260,4.55,0.023856,0.029497,0.014239,0.026227,0.067201,8.41e-04
280,4.05,0.021200,0.028029,0.013159,0.020554,0.065807,8.18e-04
300,4.49,0.020750,0.026894,0.012222,0.021259,0.065083,7.93e-04
320,4.42,0.018169,0.024117,0.010888,0.017470,0.060874,7.67e-04
340,3.97,0.022584,0.028865,0.013415,0.024045,0.064907,7.39e-04
360,4.54,0.020478,0.025949,0.012405,0.021473,0.060424,7.11e-04
380,4.15,0.016836,0.021572,0.010021,0.016732,0.057401,6.83e-04
400,4.55,0.016992,0.022404,0.009990,0.016684,0.057006,6.53e-04
420,4.46,0.015078,0.019903,0.008645,0.014489,0.055169,6.23e-04
440,4.06,0.015099,0.019904,0.008688,0.014477,0.055357,5.92e-04
460,4.15,0.017191,0.022140,0.009915,0.017447,0.058199,5.61e-04
480,4.00,0.015998,0.020952,0.009093,0.016040,0.054998,5.30e-04
500,4.73,0.015087,0.020438,0.008678,0.014221,0.054010,4.98e-04
520,4.10,0.014197,0.017933,0.008251,0.014067,0.052289,4.67e-04
540,3.89,0.014690,0.019152,0.008847,0.013735,0.053979,4.36e-04
560,4.57,0.013674,0.017305,0.008022,0.013170,0.052419,4.05e-04
580,4.16,0.012467,0.015627,0.007195,0.011956,0.050310,3.74e-04
600,4.49,0.013169,0.016599,0.007660,0.012684,0.051559,3.44e-04
620,4.26,0.013892,0.017677,0.008043,0.013526,0.052586,3.14e-04
640,4.06,0.012287,0.015064,0.007110,0.011991,0.049761,2.86e-04
660,4.05,0.012472,0.015667,0.007028,0.012099,0.050724,2.58e-04
680,4.59,0.012646,0.016418,0.007260,0.011953,0.049427,2.31e-04
700,4.34,0.012382,0.015755,0.007153,0.011800,0.049099,2.05e-04
720,4.41,0.011524,0.014434,0.006614,0.010875,0.048370,1.80e-04
740,4.37,0.012238,0.015937,0.007001,0.011468,0.048574,1.57e-04
760,4.52,0.011201,0.013873,0.006565,0.010448,0.047552,1.34e-04
780,4.58,0.011290,0.014387,0.006506,0.010474,0.047067,1.14e-04
800,3.96,0.010485,0.012864,0.006058,0.009717,0.046618,9.46e-05
820,4.18,0.010137,0.012372,0.005828,0.009297,0.046540,7.70e-05
840,4.00,0.009943,0.012042,0.005694,0.009125,0.046380,6.11e-05
860,4.16,0.010274,0.013190,0.005818,0.009185,0.046043,4.69e-05
